NAME;PSRJ;P0;P1;BINARY;PB;DIST;ASSOC;AGE;BSURF;EDOT
1633;J1705-4108;J1705-4108;0.861067;3.47E-14;*;*;5.969;*;3.93E+05;5.53E+12;2.15E+33
1078;J1834-0731;J1834-0731;0.512995;5.82E-14;*;*;4.098;*;1.40E+05;5.53E+12;1.70E+34
1804;J1616-5208;J1616-5208;1.025831;2.89E-14;*;*;6.006;*;5.62E+05;5.51E+12;1.06E+33
2454;J1846-7403;J1846-7403;4.878839;6.06E-15;*;*;25;*;1.28E+07;5.50E+12;2.06E+30
2446;J1414-6802;J1414-6802;4.630188;6.39E-15;*;*;5.42;*;1.15E+07;5.50E+12;2.54E+30
2268;J1843-0211;J1843-0211;2.027524;1.44E-14;*;*;5.931;*;2.22E+06;5.48E+12;6.84E+31
1555;J0456-7031;J0456-7031;0.800132;3.67E-14;*;*;49.7;EXGAL:LMC;3.45E+05;5.48E+12;2.83E+33
1953;J1812-2102;J1812-2102;1.223352;2.39E-14;*;*;14.44;*;8.11E+05;5.47E+12;5.15E+32
862;J2216+5759;J2216+5759;0.419102;6.90E-14;*;*;3.588;*;9.62E+04;5.44E+12;3.70E+34
1509;J1737-3102;J1737-3102;0.768672;3.73E-14;*;*;3.602;*;3.26E+05;5.42E+12;3.25E+33
2308;J1916+0852;J1916+0852;2.182746;1.31E-14;*;*;9.391;*;2.64E+06;5.41E+12;4.97E+31
1412;B1831-03;J1833-0338;0.686733;4.16E-14;*;*;2.5;*;2.62E+05;5.41E+12;5.07E+33
436;J0729-1448;J0729-1448;0.251659;1.13E-13;*;*;2.679;*;3.52E+04;5.40E+12;2.81E+35
1470;J1832-0644;J1832-0644;0.744295;3.71E-14;*;*;10.368;*;3.18E+05;5.32E+12;3.55E+33
1177;J1649-4653;J1649-4653;0.557036;4.96E-14;*;*;4.964;*;1.78E+05;5.32E+12;1.13E+34
2351;B1658-37;J1701-3726;2.454618;1.11E-14;*;*;12.947;*;3.50E+06;5.29E+12;2.97E+31
